Brand,CPU,RAM,Width,SSD,Price
apple,Apple M3,8.0,13.6,256.0,644860
asus,AMD Ryzen 5,16.0,15.6,512.0,346090
asus,AMD Ryzen 5,16.0,15.6,512.0,439880
zentek,Intel Core i7,20.0,16.0,512.0,370000
apple,Apple M3,8.0,13.0,256.0,645030
lenovo,Intel Core i9,32.0,16.0,1000.0,1129990
asus,Intel Core i5,16.0,16.0,1000.0,599000
zentek,Intel N95,16.0,15.6,512.0,229000
msi,Intel Core i5,16.0,15.6,512.0,484031
asus,Intel Core i5,64.0,17.3,2000.0,649000
asus,Intel Core i5,16.0,15.6,512.0,469000
asus,Intel Core i5,32.0,15.6,2000.0,549000
asus,Intel Core i7,40.0,15.6,2000.0,449000
asus,Intel Core i7,16.0,15.6,512.0,299990
acer,Intel Celeron,4.0,15.6,500.0,156000
lenovo,Intel Core i3,4.0,15.6,1000.0,235990
acer,Intel Core i3,4.0,15.6,256.0,217878
lenovo,Intel Core i3,4.0,15.6,1000.0,298890
hp,AMD Ryzen 5,8.0,15.6,512.0,259000
asus,Intel Core i5,16.0,15.6,512.0,448093
asus,Intel Core i3,8.0,14.0,512.0,449890
hp,AMD Ryzen 3,8.0,15.6,512.0,390000
acer,Intel Core i3,4.0,15.6,1024.0,194860
hp,AMD Athlon,4.0,15.6,128.0,299990
hp,AMD Ryzen 5,8.0,14.0,512.0,383880
lenovo,Intel Core i3,4.0,15.6,1000.0,219000
acer,Intel Core i5,8.0,15.6,512.0,449405
lenovo,Intel Celeron,4.0,15.6,1000.0,168995
lenovo,AMD Ryzen 5,8.0,15.6,256.0,306424
apple,Apple M1,16.0,14.2,512.0,1055990
apple,Apple M1,16.0,16.2,512.0,1060256
leap,Intel Pentium,4.0,11.6,128.0,224989
realme,Intel Core i5,8.0,14.0,512.0,399990
asus,Intel Core i3,8.0,15.6,256.0,234988
asus,Intel Core i5,8.0,15.6,512.0,459980
asus,Intel Core i7,8.0,15.6,512.0,357790
acer,Intel Core i5,8.0,15.6,512.0,437964
asus,Intel Core i5,16.0,17.3,512.0,521358
hp,Intel Core i7,8.0,14.0,256.0,366873
acer,Intel Core i5,8.0,15.6,512.0,344880
lenovo,AMD Ryzen 5,8.0,15.6,512.0,319890
hp,AMD Ryzen 7,16.0,13.0,512.0,689990
apple,Apple M2,8.0,13.6,512.0,650776
